id,name,artist,album
4yI3HpbSFSgFZtJP2kDe5m,Look At Her Now,Selena Gomez,Look At Her Now
5aUSEPNd3m5xliFK4pn5mU,Good Thing (with Kehlani),Zedd,Good Thing (with Kehlani)
6b2RcmUt1g9N9mQ3CbjX2Y,How Do You Sleep?,Sam Smith,How Do You Sleep?
5WHTFyqSii0lmT9R21abT8,Don't Call Me Up,Mabel,Ivy To Roses (Mixtape)
3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,Billie Eilish,everything i wanted
6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,Dua Lipa,Don't Start Now
6V9fHiv84WlVTg7CSnIVY2,Graveyard,Halsey,Graveyard
073ILU1C3APNRGF66VhtyA,Liar,Camila Cabello,Romance
1HfMVBKM75vxSfsQ5VefZ5,Lose You To Love Me,Selena Gomez,Lose You To Love Me
4jAIqgrPjKLTY9Gbez25Qb,Lights Up,Harry Styles,Fine Line
3i9UVldZOE0aD0JnyfAZZ0,Lover (Remix) [feat. Shawn Mendes],Taylor Swift,Lover (Remix) [feat. Shawn Mendes]
6zegtH6XXd2PDPLvy1Y0n2,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Ariana Grande,Charlie's Angels (Original Motion Picture Soundtrack)
57vxBYXtHMk6H1aD29V7PU,Heartless,The Weeknd,Heartless
70eFcWOvlMObDhURTqT4Fv,Beautiful People (feat. Khalid),Ed Sheeran,No.6 Collaborations Project
7CHi4DtfK4heMlQaudCuHK,Lose Control,MEDUZA,Lose Control
696DnlkuDOXcMAnKlTgXXK,ROXANNE,Arizona Zervas,ROXANNE
2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,Hollywood's Bleeding
26wLOs3ZuHJa2Ihhx6QIE6,Teeth,5 Seconds of Summer,13 Reasons Why (Season 3)
3cphb8kdsjElYR7r5icK3H,Nice To Meet Ya,Niall Horan,Nice To Meet Ya
4vUmTMuQqjdnvlZmAH61Qk,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,No.6 Collaborations Project
1mpD5Q8IM32I4bF6eCpU74,Up All Night,Khalid,Up All Night
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent
07Oz5StQ7GRoygNLaXs2pd,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,Good as Hell (feat. Ariana Grande) [Remix]
